t_rel,raw_0,raw_1,raw_2,deg_0,deg_1,deg_2
29.802860021591187,3793,0,0,333.37,0.00,0.00
29.918027877807617,3791,0,0,333.19,0.00,0.00
30.03268003463745,3792,0,0,333.28,0.00,0.00
30.14773917198181,3793,0,0,333.37,0.00,0.00
30.262712955474854,3826,0,0,336.27,0.00,0.00
30.37795925140381,3828,0,0,336.45,0.00,0.00
30.49233603477478,3829,0,0,336.53,0.00,0.00
30.60790991783142,3829,0,0,336.53,0.00,0.00
30.72232961654663,3830,0,0,336.62,0.00,0.00
30.837743759155273,3830,0,0,336.62,0.00,0.00
30.952890634536743,3830,0,0,336.62,0.00,0.00
31.068182468414307,3829,0,0,336.53,0.00,0.00
31.18277931213379,3830,0,0,336.62,0.00,0.00
31.29775309562683,3830,0,0,336.62,0.00,0.00
31.41280698776245,3830,0,0,336.62,0.00,0.00
31.527742385864258,3829,0,0,336.53,0.00,0.00
31.643195152282715,3830,0,0,336.62,0.00,0.00
31.75797152519226,3829,0,0,336.53,0.00,0.00
31.872557163238525,3831,0,0,336.71,0.00,0.00
31.987329483032227,3830,0,0,336.62,0.00,0.00
32.1024112701416,3830,0,0,336.62,0.00,0.00
32.21734690666199,3830,0,0,336.62,0.00,0.00
32.3325572013855,3830,0,0,336.62,0.00,0.00
